island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Oshima,oshima1(2),1,1,867.14,636.93,0.1004,0.3575,weak_recovered,0.0,-0.929,-1.0,0.0,,
Oshima,oshima1(2),1,2,887.38,650.14,0.3011,0.6191,mixed,0.095,-0.31,0.0,0.0,,
Oshima,oshima1(2),1,3,867.35,651.41,0.2437,0.5571,mixed,0.353,0.647,0.0,0.0,,
Oshima,oshima1(2),1,4,854.49,660.75,0.4659,0.7702,mixed,0.815,6.077,6.0,0.0,,
Oshima,oshima1(2),1,5,892.35,661.35,0.1219,0.3939,weak_recovered,0.0,-0.471,0.0,0.0,,
Oshima,oshima1(2),1,6,880.67,662.05,0.4086,0.7213,mixed,0.509,1.86,2.0,0.0,,
Oshima,oshima1(2),1,7,907.31,665.52,0.7312,0.9649,mixed,0.745,3.598,3.0,0.0,,
Oshima,oshima1(2),1,8,879.5,670.0,0.0143,0.1351,strong,1.0,1.0,1.0,0.0,,
Oshima,oshima1(2),1,9,930.5,672.33,0.043,0.234,strong,1.0,2.167,2.0,0.0,,
Oshima,oshima1(2),1,10,952.39,674.56,0.7168,0.9554,strong,1.0,5.65,5.0,0.0,,
Oshima,oshima1(2),1,11,985.76,676.43,5.2401,2.583,mixed,0.979,13.826,12.0,0.0,check,
Oshima,oshima1(2),1,12,944.0,681.5,0.0143,0.1351,strong,1.0,1.0,1.0,0.0,,
Oshima,oshima1(2),1,13,1008.5,689.5,0.0287,0.1911,mixed,0.25,5.5,6.0,0.0,,
Oshima,oshima1(2),1,14,877.78,690.28,9.8495,3.5413,mixed,0.985,11.048,9.0,0.0,check,
Oshima,oshima1(2),1,15,928.69,691.6,4.0717,2.2769,strong,1.0,9.049,9.0,0.0,check,
Oshima,oshima1(2),1,16,961.09,694.48,0.7957,1.0065,strong,1.0,9.396,8.0,0.0,,
Oshima,oshima1(2),1,17,971.5,697.2,0.0717,0.3021,strong,1.0,3.6,3.0,0.0,,
Oshima,oshima1(2),1,18,896.8,701.4,0.1075,0.37,strong,1.0,5.467,6.0,0.0,,
Oshima,oshima1(2),1,19,1003.03,703.22,0.8244,1.0245,mixed,0.957,8.278,8.0,0.0,,
Oshima,oshima1(2),1,20,954.25,703.75,0.0287,0.1911,strong,1.0,8.75,9.0,0.0,,
Oshima,oshima1(2),1,21,967.05,704.33,0.1505,0.4378,strong,1.0,5.0,5.0,0.0,,
Oshima,oshima1(2),1,22,978.33,707.26,0.1935,0.4964,strong,1.0,5.667,5.0,0.0,,
Oshima,oshima1(2),1,23,856.5,707.5,0.0573,0.2702,strong,1.0,3.0,3.0,0.0,,
Oshima,oshima1(2),1,24,939.5,708.5,0.043,0.234,strong,1.0,6.667,5.5,0.0,,
Oshima,oshima1(2),1,25,968.35,710.47,0.1219,0.3939,strong,1.0,5.706,5.0,0.0,,
Oshima,oshima1(2),1,26,964.5,715.0,0.0143,0.1351,strong,1.0,8.5,8.5,0.0,,
Oshima,oshima1(2),1,27,1013.0,715.48,0.509,0.805,mixed,0.859,5.352,5.0,0.0,,
Oshima,oshima1(2),1,28,919.0,715.5,0.043,0.234,strong,1.0,1.833,1.5,0.0,,
Oshima,oshima1(2),1,29,929.92,720.13,0.7025,0.9458,strong,1.0,8.776,9.0,0.0,,
Oshima,oshima1(2),1,30,858.5,723.25,0.0287,0.1911,strong,1.0,9.75,10.5,0.0,,
