island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Oshima,oshima1(2),1,44,39,5,3,26.853,3.757,3.524,0.233,6.156,0.6103,0.0645,9.8495,0.0,1,190,82.989,11.611,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,350,550.80
Oshima,oshima1(2),2,47,41,6,2,20.688,2.899,2.477,0.422,6.586,0.4402,0.1004,8.81,0.0,1,161,59.935,8.399,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,350,550.80
Oshima,oshima1(2),3,272,126,146,4,373.053,30.801,26.797,4.005,22.458,1.3715,0.1219,271.3258,0.0,1,1320,466.551,38.521,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,350,550.80
Oshima,oshima1(2),4,45,42,3,2,65.57,6.732,6.697,0.035,4.62,1.4571,0.1004,44.0931,0.0,1,321,112.444,11.545,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,350,550.80
Oshima,oshima1(2),5,123,105,18,5,133.606,14.458,13.413,1.045,13.31,1.0862,0.172,38.1863,0.0,1,740,233.147,25.229,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,350,550.80
