island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc
Niijima,3,niijima2,2,,,,,1,271,1182,1,1,not_triggered,30.48,28.11,0.922,,,590.1,157.347,26.662,85,14.403,0.942,1,0.036,0,2.21,25.57,7,0.808,1.04,,54,31,4,24.448,2.214,1.8511,0.1219,111.5339,0.0,517,226.545,38.388,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,30.48,27.69,590.171,4.826,25.569,6.943,26.67,22.86,2.21,3.836,0.0864,0.3037,0.9587,28.86,0.588,0.1583,0.2507,0.2923,7,opened_or_broad,flat_span_over_pi,0.1738,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima2,2,,,,,2,766,1218,3,1,not_triggered,29.21,24.64,0.844,,,524.5,156.215,29.786,96,18.305,0.959,1,0.02,0,13.37,24.24,3,0.915,1.18,,44,52,7,26.745,3.041,1.6272,0.1147,92.9175,0.0,512,230.473,43.945,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,29.21,24.215,524.48,4.89,24.235,20.913,21.59,12.531,6.657,34.802,0.2747,1.6689,1.1225,32.033,11.914,0.1674,0.8636,0.4523,3,opened_or_broad,flat_span_over_pi,0.2257,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima2,2,,,,,3,1169,1227,2,1,not_triggered,32.0,22.78,0.712,,,539.1,131.348,24.364,77,14.283,0.902,1,0.067,0,6.28,27.62,4,0.91,1.42,,59,18,3,23.375,0.989,1.7058,0.0789,103.6845,0.0,463,215.147,39.909,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,32.004,22.437,539.096,4.3,27.619,19.727,20.066,12.869,6.279,30.969,0.2274,1.5329,1.3764,26.271,2.09,0.1344,0.8792,0.379,4,opened_or_broad,flat_span_over_pi,0.1616,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima2,2,,,,,4,298,1649,4,1,not_triggered,42.84,44.28,1.034,,,1004.5,26.308,2.619,48,4.778,0.582,1,0.059,0,9.38,26.99,6,0.766,1.14,,44,4,2,2.421,0.198,0.5481,0.2294,6.5806,0.0,329,84.681,8.43,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,42.841,40.788,1004.501,13.871,28.886,23.791,42.672,15.748,7.573,45.043,0.2622,1.5108,0.6769,3.311,0.044,0.3238,0.5833,0.3523,6,opened_or_broad,flat_span_over_pi,0.9691,guide_density_secondary,boundary_sinuses,
Niijima,3,niijima2,2,,,,,5,898,1814,5,1,split_rejected,92.29,39.96,0.433,check,check,2482.6,236.286,9.518,331,13.333,0.988,1,0.068,0,6.25,63.68,6,0.619,1.01,,272,59,13,8.719,0.799,0.7139,0.0932,44.387,0.0,1272,544.386,21.928,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,92.287,38.947,2482.707,29.256,62.946,27.601,32.766,21.505,17.572,242.499,0.2792,1.2835,1.9211,11.385,4.964,0.317,0.7087,0.3648,9,folded_half,2x_flat_span_over_pi,0.6185,guide_density_secondary,boundary_sinuses,folded_mouth_proxy
Niijima,3,niijima2,2,,,,,6,307,2107,6,1,not_triggered,36.49,29.97,0.821,,,752.5,56.466,7.504,118,15.682,0.951,1,0.353,1,17.03,25.8,3,0.834,1.18,,99,19,3,6.841,0.663,0.4785,0.086,18.8028,0.0,304,189.763,25.219,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,36.491,29.803,752.565,10.606,25.801,26.755,24.13,14.393,8.516,56.963,0.3301,1.8588,1.0692,8.663,3.871,0.2906,0.8977,0.4167,3,opened_or_broad,flat_span_over_pi,0.5492,guide_density_secondary,boundary_sinuses,
Niijima,3,niijima2,2,,,,,7,1194,2195,8,1,auto_split,33.87,28.87,0.852,,,753.2,122.107,16.213,191,25.36,0.972,1,0.006,0,8.25,29.1,4,0.942,1.17,,171,20,8,14.779,1.433,0.6393,0.1577,29.0466,0.0,647,247.641,32.881,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,33.867,28.787,753.132,4.681,29.101,25.908,26.077,17.272,8.247,53.414,0.2834,1.5,1.116,15.852,20.04,0.1382,0.9,0.4713,4,opened_or_broad,flat_span_over_pi,0.1645,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima2,2,,,,,8,1594,2169,7,1,not_triggered,40.89,32.51,0.795,,,744.1,32.781,4.405,89,11.96,0.979,1,0.435,1,7.52,31.3,6,0.775,1.07,,67,22,3,3.929,0.476,0.3683,0.0717,8.8745,0.0,252,129.856,17.45,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,40.894,32.089,744.142,10.129,30.681,18.796,32.343,9.821,5.983,28.114,0.195,1.9138,0.9486,4.517,3.299,0.2477,0.5858,0.6243,4,opened_or_broad,flat_span_over_pi,0.2235,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima2,2,,,,,9,246,2570,9,1,not_triggered,34.8,28.53,0.82,,,686.9,51.914,7.558,118,17.178,0.976,1,0.117,1,5.36,28.93,8,0.884,1.01,,103,15,1,6.833,0.724,0.4399,0.1434,18.1935,0.0,460,181.269,26.389,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,34.798,28.279,686.91,5.884,28.829,17.272,24.807,16.595,5.498,23.74,0.1907,1.0408,1.1621,8.035,0.8,0.1691,0.6108,0.3741,8,opened_or_broad,flat_span_over_pi,0.2201,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima2,2,,,,,10,698,2581,10,1,not_triggered,31.67,30.56,0.965,,,617.3,29.52,4.782,69,11.178,0.906,1,0.167,1,10.19,18.73,3,0.77,1.01,,47,22,3,4.204,0.578,0.4278,0.1075,3.9498,0.0,283,106.939,17.325,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,31.665,29.917,617.297,10.804,20.777,14.732,27.009,22.183,4.689,17.271,0.2257,0.6641,0.7693,5.91,0.329,0.3412,0.4924,0.2223,3,opened_or_broad,flat_span_over_pi,0.2033,shape_end_complexity,profile_fallback,sinus
