island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Niijima,niijima2,1,85,54,31,4,157.347,26.662,24.448,2.214,14.403,1.8511,0.1219,111.5339,0.0,1,517,226.545,38.388,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,2,96,44,52,7,156.215,29.786,26.745,3.041,18.305,1.6272,0.1147,92.9175,0.0,1,512,230.473,43.945,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,3,77,59,18,3,131.348,24.364,23.375,0.989,14.283,1.7058,0.0789,103.6845,0.0,1,463,215.147,39.909,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,4,48,44,4,2,26.308,2.619,2.421,0.198,4.778,0.5481,0.2294,6.5806,0.0,1,329,84.681,8.43,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,5,331,272,59,13,236.286,9.518,8.719,0.799,13.333,0.7139,0.0932,44.387,0.0,1,1272,544.386,21.928,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,6,118,99,19,3,56.466,7.504,6.841,0.663,15.682,0.4785,0.086,18.8028,0.0,1,304,189.763,25.219,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,7,191,171,20,8,122.107,16.213,14.779,1.433,25.36,0.6393,0.1577,29.0466,0.0,1,647,247.641,32.881,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,8,89,67,22,3,32.781,4.405,3.929,0.476,11.96,0.3683,0.0717,8.8745,0.0,1,252,129.856,17.45,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,9,118,103,15,1,51.914,7.558,6.833,0.724,17.178,0.4399,0.1434,18.1935,0.0,1,460,181.269,26.389,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,10,69,47,22,3,29.52,4.782,4.204,0.578,11.178,0.4278,0.1075,3.9498,0.0,1,283,106.939,17.325,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,11,101,94,7,10,92.093,14.267,13.265,1.002,15.647,0.9118,0.1577,10.7813,0.0,1,496,193.433,29.966,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,12,97,87,10,1,29.878,4.99,4.44,0.551,16.202,0.308,0.1434,4.3154,0.0,1,347,126.287,21.093,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,13,31,27,4,0,12.136,2.414,2.187,0.227,6.166,0.3915,0.1864,2.2007,0.0,1,218,40.115,7.979,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,14,44,40,4,0,19.95,3.59,3.144,0.446,7.919,0.4534,0.1075,2.5233,0.0,1,237,60.416,10.873,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,15,29,23,6,0,5.161,0.893,0.77,0.123,5.016,0.178,0.043,1.6631,0.0,1,0,5.161,0.893,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
