island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Niijima,niijima2~4,1,1,336.72,1201.8,0.9892,1.1223,mixed,0.899,6.638,6.5,0.0,,
Niijima,niijima2~4,1,2,392.5,1202.5,0.0143,0.1351,weak_recovered,0.0,2.5,2.5,0.0,,
Niijima,niijima2~4,1,3,375.19,1208.71,0.7814,0.9974,mixed,0.908,8.422,9.0,0.0,,
Niijima,niijima2~4,1,4,396.5,1214.5,0.0143,0.1351,weak_recovered,0.0,0.0,0.0,0.0,,
Niijima,niijima2~4,1,5,386.5,1216.0,0.0143,0.1351,strong,1.0,4.0,4.0,0.0,,
Niijima,niijima2~4,1,6,313.5,1218.0,0.0143,0.1351,mixed,0.5,1.5,1.5,0.0,,
Niijima,niijima2~4,1,7,306.55,1218.18,0.0789,0.3169,strong,1.0,8.273,9.0,0.0,,
Niijima,niijima2~4,1,8,355.85,1218.46,0.0932,0.3445,strong,1.0,8.462,9.0,0.0,,
Niijima,niijima2~4,1,9,335.5,1218.5,0.0287,0.1911,strong,1.0,6.5,6.0,0.0,,
Niijima,niijima2~4,1,10,365.06,1220.29,0.3513,0.6688,mixed,0.959,9.918,10.0,0.0,,
Niijima,niijima2~4,1,11,272.67,1221.33,0.0215,0.1655,weak_recovered,0.0,4.333,3.0,0.0,,
Niijima,niijima2~4,1,12,399.0,1221.5,0.0143,0.1351,strong,1.0,3.5,3.5,0.0,,
Niijima,niijima2~4,1,13,351.17,1225.33,0.043,0.234,mixed,0.833,6.667,7.5,0.0,,
Niijima,niijima2~4,1,14,306.47,1228.22,0.9534,1.1018,mixed,0.955,10.406,10.0,0.0,,
Niijima,niijima2~4,1,15,290.5,1229.5,0.0143,0.1351,strong,1.0,2.0,2.0,0.0,,
Niijima,niijima2~4,1,16,270.5,1231.5,0.0143,0.1351,mixed,0.5,5.0,5.0,0.0,,
Niijima,niijima2~4,1,17,339.5,1233.0,0.0143,0.1351,strong,1.0,5.5,5.5,0.0,,
