stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,42404,255,234.0,196.0,255.0,0,126.0,7.0,231.0,0,111.0,12.0,219.0
green_reproductive_organ,12422,202,154.0,28.0,233.0,255,228.0,27.0,255.0,0,103.0,11.0,217.0
