island,sheet,organ_id,nearest_corolla,cx,cy,x1,y1,x2,y2,length_mm,width_mm,aspect,angle_deg,organ_type_auto,organ_type_FILL,exclude_FILL,detection_source,nearest_corolla_hint,association_confirmed,visibility_note
Niijima,niijima1~2,1,3,1126.0,960.0,,,,,17.17,1.44,11.89,-53.25,unclassified_reproductive_organ,,,,,,
Niijima,niijima1~2,2,1,196.59,1015.58,,,,,27.35,2.03,13.49,-74.93,unclassified_reproductive_organ,,,,,,
Niijima,niijima1~2,3,2,990.0,1070.0,,,,,17.2,1.45,11.85,78.93,unclassified_reproductive_organ,,,,,,
Niijima,niijima1~2,4,1,170.0,1302.5,,,,,16.17,1.35,11.94,-90.0,unclassified_reproductive_organ,,,,,,
Niijima,niijima1~2,5,6,1535.45,1588.15,,,,,23.95,5.58,4.3,83.52,unclassified_reproductive_organ,,,,,,
Niijima,niijima1~2,6,7,522.01,2047.6,,,,,30.23,4.96,6.09,-81.48,unclassified_reproductive_organ,,,,,,
Niijima,niijima1~2,7,10,869.0,2516.0,,,,,15.99,1.44,11.09,-84.03,unclassified_reproductive_organ,,,,,,
Niijima,niijima1~2,8,13,462.0,2880.0,,,,,26.42,1.35,19.5,-90.0,unclassified_reproductive_organ,,,,,,
