island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc
Niijima,3,niijima1~2,,1|2,,,,1,313,1175,3,1,not_triggered,42.67,32.0,0.75,,,667.8,40.287,6.033,139,20.814,0.92,1,0.26,1,7.9,25.11,4,0.743,1.15,,128,11,3,5.585,0.448,0.2898,0.0789,7.4695,0.0,376,185.921,27.841,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,42.672,29.549,667.77,9.353,33.235,20.235,23.961,5.08,6.441,32.585,0.1938,3.9833,1.3871,6.496,2.823,6,opened_or_broad,flat_span_over_pi,0.1637,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima1~2,,1|2,,,,2,781,1164,2,1,not_triggered,33.95,25.57,0.753,,,685.2,70.358,10.269,131,19.119,0.908,1,0.155,1,7.6,24.79,7,0.9,1.3,,121,10,6,9.635,0.634,0.5371,0.1219,10.6165,0.0,461,204.631,29.865,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,33.951,25.231,685.218,6.302,27.564,20.997,24.723,20.659,6.684,35.085,0.2425,1.0164,1.1149,8.709,25.719,3,opened_or_broad,flat_span_over_pi,0.2434,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima1~2,,1|2,,,,3,1224,1139,1,1,not_triggered,31.5,24.13,0.766,,,577.0,185.132,32.083,92,15.943,0.976,1,0.01,0,13.42,25.55,3,0.897,1.29,,71,21,4,30.239,1.844,2.0123,0.086,106.5232,0.0,551,269.039,46.624,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,31.496,23.368,576.96,5.864,25.547,21.082,21.844,17.103,6.711,35.368,0.2627,1.2327,1.1695,31.954,33.306,3,opened_or_broad,flat_span_over_pi,0.2061,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima1~2,,1|2,,,,4,391,1660,6,1,not_triggered,31.5,28.02,0.89,,,571.7,2.344,0.41,25,4.373,0.747,0,0.059,0,8.87,13.19,4,0.802,1.1,,25,0,0,0.41,0.0,0.0938,0.0287,0.3943,0.0,0,2.344,0.41,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,31.496,27.686,571.627,18.217,13.194,27.855,19.812,8.89,8.867,61.746,0.672,3.1333,0.666,0.614,0.26,4,opened_or_broad,flat_span_over_pi,0.9232,guide_density_secondary,boundary_sinuses,
Niijima,3,niijima1~2,,1|2,,,,5,816,1645,5,1,not_triggered,32.17,27.09,0.842,,,578.0,0.645,0.112,11,1.903,0.554,0,0.002,0,14.01,20.48,1,0.912,1.12,,11,0,0,0.112,0.0,0.0587,0.0358,0.1935,0.0,0,0.645,0.112,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,32.173,26.839,577.885,7.439,24.65,21.675,22.691,12.361,6.899,37.385,0.2799,1.7534,1.0863,0.123,0.108,5,opened_or_broad,flat_span_over_pi,0.1943,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima1~2,,1|2,,,,6,1285,1613,4,1,not_triggered,39.03,25.74,0.659,,,633.2,0.609,0.096,7,1.105,0.572,0,0.007,0,12.94,26.02,2,0.886,1.25,,7,0,0,0.096,0.0,0.087,0.0287,0.3513,0.0,0,0.609,0.096,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,39.031,25.485,633.096,7.266,31.681,15.748,21.59,9.821,5.013,19.735,0.1582,1.6034,1.4674,0.107,0.033,4,opened_or_broad,flat_span_over_pi,0.1849,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima1~2,,1|2,,,,7,277,2116,9,1,not_triggered,31.58,27.43,0.869,,,609.8,0.43,0.071,4,0.656,0.341,0,0.004,0,14.61,20.05,1,0.887,1.1,,4,0,0,0.071,0.0,0.1075,0.0394,0.3369,0.0,0,0.43,0.071,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,31.581,26.924,609.827,5.408,26.088,22.775,23.707,15.748,7.25,41.278,0.2779,1.4462,1.1004,0.073,0.149,4,opened_or_broad,flat_span_over_pi,0.2643,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima1~2,,1|2,,,,8,962,2098,7,1,not_triggered,53.0,29.38,0.554,,,1039.7,1.018,0.098,21,2.02,0.626,0,0.003,0,9.35,40.57,5,0.713,1.62,,19,2,0,0.094,0.003,0.0485,0.0287,0.3513,0.0,0,1.018,0.098,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,53.001,26.331,1039.755,12.352,40.565,29.295,16.849,26.247,18.65,273.167,0.4597,1.1161,2.4076,0.137,0.013,5,folded_half,2x_flat_span_over_pi,0.8158,guide_density_secondary,boundary_sinuses,folded_mouth_proxy
Niijima,3,niijima1~2,,1|2,,,,9,1592,2133,8,1,not_triggered,43.77,31.07,0.71,,,770.9,246.079,31.922,95,12.324,0.841,1,0.036,0,8.11,29.72,9,0.756,1.45,,63,32,2,29.471,2.45,2.5903,0.1075,187.1181,0.0,670,328.365,42.596,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,43.773,29.803,770.859,13.972,29.716,25.485,22.945,7.789,8.112,51.683,0.273,3.2717,1.2951,37.912,11.232,9,opened_or_broad,flat_span_over_pi,0.1817,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima1~2,,1|2,,,,10,709,2531,10,1,not_triggered,32.26,25.48,0.79,,,559.0,143.111,25.6,82,14.669,0.9,1,0.028,0,4.64,24.13,7,0.886,1.18,,67,15,4,24.355,1.245,1.7453,0.1039,105.9927,0.0,516,222.537,39.809,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,32.258,24.892,559.089,8.454,23.719,17.611,23.368,16.425,5.606,24.68,0.2363,1.0722,1.015,28.466,8.111,7,opened_or_broad,flat_span_over_pi,0.1262,shape_end_complexity,boundary_sinuses,
Niijima,3,niijima1~2,,1|2,,,,11,1120,2520,11,1,not_triggered,33.61,27.35,0.814,,,604.8,32.53,5.379,117,19.346,0.914,1,0.203,1,5.58,25.26,7,0.828,1.01,,102,15,2,4.82,0.559,0.278,0.043,5.6559,0.0,282,145.011,23.978,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,33.613,26.924,604.759,8.272,25.256,17.526,25.654,20.405,5.579,24.443,0.2209,0.8589,0.9845,5.498,4.659,7,opened_or_broad,flat_span_over_pi,0.1932,shape_end_complexity,boundary_sinuses,
