stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,79781,255,222.0,116.0,255.0,0,115.0,7.0,228.0,0,105.0,7.0,222.0
green_reproductive_organ,38203,72,127.0,50.0,229.0,255,125.0,14.0,254.0,0,85.0,3.0,209.0
