island,sheet,organ_id,nearest_corolla,cx,cy,x1,y1,x2,y2,length_mm,width_mm,aspect,angle_deg,organ_type_auto,organ_type_FILL,exclude_FILL,detection_source,nearest_corolla_hint,association_confirmed,visibility_note
Oshima,oshima13~15,1,3,2167.08,935.56,2151,816,2182,1045,73.06,0.38,194.44,82.29,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima13~15,2,2,1662.28,939.89,1633,788,1700,1092,74.24,0.47,157.8,77.57,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima13~15,3,1,1048.55,962.5,1066,1074,1026,837,52.21,0.54,97.25,80.42,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima13~15,4,4,676.77,1010.83,658,865,712,1145,77.58,0.47,164.19,79.08,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima13~15,5,5,724.91,1617.59,738,1742,708,1482,83.15,0.35,237.03,83.42,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima13~15,6,7,1451.53,1636.14,1469,1458,1432,1795,126.98,0.28,450.57,-83.73,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima13~15,7,7,2044.0,1690.85,2033,1535,2058,1842,105.98,0.35,306.85,85.34,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima13~15,8,8,793.06,2244.3,770,2063,817,2396,111.28,0.34,326.05,81.97,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima13~15,9,9,1456.04,2320.39,1417,2146,1492,2469,77.87,0.44,177.87,76.93,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima13~15,10,11,1313.99,2925.29,1319,2760,1307,3074,44.97,0.71,62.97,-87.81,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima13~15,11,10,665.64,2933.66,660,2780,671,3068,115.39,0.27,429.33,87.81,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima13~15,12,13,1820.29,3034.42,1794,2878,1846,3162,74.38,0.42,178.31,79.62,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima13~15,13,13,2085.59,3300.93,1927,3283,2250,3317,68.72,0.51,135.59,6.01,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima13~15,14,13,2374.92,3406.58,2421,3401,2322,3415,24.59,0.13,196.15,-8.05,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
