island,sheet,organ_id,nearest_corolla,cx,cy,x1,y1,x2,y2,length_mm,width_mm,aspect,angle_deg,organ_type_auto,organ_type_FILL,exclude_FILL,detection_source,nearest_corolla_hint,association_confirmed,visibility_note
Oshima,oshima8~9,1,1,814.19,828.1,752,702,870,948,46.13,0.71,64.66,64.37,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima8~9,2,2,1289.3,829.43,1292,698,1289,952,22.49,1.25,18.02,-89.32,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima8~9,3,4,750.89,1356.54,740,1221,758,1487,62.9,0.42,149.66,86.13,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima8~9,4,5,1380.86,1418.63,1352,1304,1400,1531,43.39,0.61,71.2,78.06,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima8~9,5,6,2137.63,1454.51,2119,1335,2155,1570,51.29,0.53,96.11,81.29,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima8~9,6,8,1424.09,1927.92,1352,1826,1473,2030,46.53,0.59,79.09,59.33,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima8~9,7,7,699.18,1952.24,710,2064,693,1845,39.41,0.56,70.75,85.56,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima8~9,8,9,2056.31,2051.15,2015,1911,2095,2169,55.32,0.53,105.06,72.77,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima8~9,9,10,731.7,2500.03,749,2380,713,2603,50.65,0.47,107.67,-80.83,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima8~9,10,11,1315.76,2514.27,1308,2411,1319,2615,25.62,0.85,30.27,86.91,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima8~9,11,12,2056.98,2558.97,2036,2423,2076,2667,47.89,0.55,87.26,80.69,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima8~9,12,14,902.09,2934.24,852,2801,954,3050,45.15,0.67,67.59,67.72,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima8~9,13,14,1416.71,3066.88,1395,2931,1430,3185,45.4,0.64,70.76,82.15,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
