island,sheet,corolla_id,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Oshima,oshima8~9,1,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,30.395,19.643,510.523,3.647,26.663,17.357,19.304,14.817,5.525,23.973,0.2072,1.1714,1.3812,30.577,0.475,0.12,0.8836,0.3608,5,opened_or_broad,flat_span_over_pi,0.1163,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima8~9,2,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,36.491,20.743,571.584,5.786,30.621,16.087,18.542,13.716,5.121,20.593,0.1672,1.1728,1.6514,36.052,6.424,0.1585,0.7755,0.413,3,opened_or_broad,flat_span_over_pi,0.1963,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima8~9,3,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,34.544,22.267,620.501,9.508,24.952,21.759,21.082,16.849,6.926,37.677,0.2776,1.2915,1.1835,8.886,1.007,0.2752,0.9772,0.2679,3,opened_or_broad,flat_span_over_pi,0.8913,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Oshima,oshima8~9,4,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,38.777,27.178,759.827,5.61,33.083,16.595,24.299,16.764,5.282,21.914,0.1597,0.9899,1.3615,27.97,0.04,0.1447,0.6106,0.373,9,opened_or_broad,flat_span_over_pi,0.1714,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima8~9,5,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,30.141,20.489,461.863,4.123,25.933,11.853,19.05,14.732,3.773,11.181,0.1455,0.8046,1.3613,33.671,0.097,0.1368,0.5785,0.3686,3,opened_or_broad,flat_span_over_pi,0.1917,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima8~9,6,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,34.29,23.876,676.365,4.115,30.091,21.421,22.521,18.627,6.818,36.514,0.2266,1.15,1.3361,12.246,0.018,0.12,0.8972,0.1597,8,opened_or_broad,flat_span_over_pi,0.977,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima8~9,7,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,32.258,24.892,585.118,3.871,28.302,18.373,20.913,14.647,5.848,26.862,0.2066,1.2543,1.3534,20.66,9.177,0.12,0.7381,0.4038,7,opened_or_broad,flat_span_over_pi,0.1785,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima8~9,8,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,35.052,23.707,591.72,4.206,30.761,16.087,21.421,13.716,5.121,20.593,0.1665,1.1728,1.436,25.41,4.68,0.12,0.6786,0.4519,6,opened_or_broad,flat_span_over_pi,0.3643,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima8~9,9,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,44.281,26.331,909.848,6.638,37.558,24.045,25.146,17.103,7.654,46.01,0.2038,1.4059,1.4936,36.936,14.867,0.1499,0.9132,0.4307,5,opened_or_broad,flat_span_over_pi,0.2247,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima8~9,10,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,39.37,27.601,793.318,8.028,31.257,20.489,25.908,18.373,6.522,33.408,0.2087,1.1152,1.2065,16.666,7.002,0.2039,0.7423,0.3049,5,opened_or_broad,flat_span_over_pi,0.1791,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima8~9,11,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,34.205,26.67,719.877,4.555,29.565,16.764,26.755,21.082,5.336,22.364,0.1805,0.7952,1.105,10.117,1.662,0.1332,0.6286,0.2261,4,opened_or_broad,flat_span_over_pi,0.2283,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima8~9,12,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,42.672,28.279,938.164,5.121,37.467,25.146,24.215,18.457,8.004,50.319,0.2136,1.3624,1.5473,30.326,3.167,0.12,0.8892,0.4136,4,opened_or_broad,flat_span_over_pi,0.1948,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima8~9,13,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,,45.297,29.21,1041.411,5.436,39.776,27.432,27.093,17.865,8.732,59.883,0.2195,1.5355,1.4681,30.159,3.327,0.12,0.9391,0.3175,4,opened_or_broad,flat_span_over_pi,0.1674,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
