stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,76119,255,220.0,170.0,255.0,22,124.0,14.0,218.0,37,121.0,24.0,212.0
green_reproductive_organ,15818,198,147.0,48.0,215.0,227,222.0,45.0,249.0,86,131.5,49.0,212.0
