island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Oshima,oshima8~9,1,1,616.55,752.73,1.3907,1.3307,mixed,0.809,15.732,15.0,0.0,,
Oshima,oshima8~9,1,2,498.5,755.0,0.0143,0.1351,weak_recovered,0.0,8.0,8.0,0.0,,
Oshima,oshima8~9,1,3,501.75,755.25,0.0287,0.1911,weak_recovered,0.0,5.0,5.0,0.0,,
Oshima,oshima8~9,1,4,520.75,757.75,0.0287,0.1911,weak_recovered,0.0,5.25,5.5,0.0,,
Oshima,oshima8~9,1,5,549.67,761.33,0.0215,0.1655,weak_recovered,0.0,6.333,6.0,0.0,,
Oshima,oshima8~9,1,6,635.89,764.4,0.5376,0.8274,mixed,0.653,14.28,14.0,0.0,,
Oshima,oshima8~9,1,7,510.0,770.3,0.2867,0.6042,mixed,0.875,10.0,9.5,0.0,,
Oshima,oshima8~9,1,8,615.5,771.0,0.0143,0.1351,weak_recovered,0.0,-1.0,-1.0,0.0,,
Oshima,oshima8~9,1,9,572.56,771.39,0.129,0.4053,mixed,0.056,3.333,3.0,0.0,,
Oshima,oshima8~9,1,10,559.5,774.0,0.0143,0.1351,weak_recovered,0.0,6.5,6.5,0.0,,
Oshima,oshima8~9,1,11,454.5,780.0,0.0143,0.1351,weak_recovered,0.0,0.0,0.0,0.0,,
Oshima,oshima8~9,1,12,642.5,804.0,0.0143,0.1351,weak_recovered,0.0,-0.5,-0.5,0.0,,
Oshima,oshima8~9,1,13,655.87,809.68,0.9677,1.11,mixed,0.904,18.607,19.0,0.0,,
Oshima,oshima8~9,1,14,454.5,810.0,0.0143,0.1351,weak_recovered,0.0,2.0,2.0,0.0,,
Oshima,oshima8~9,1,15,454.5,819.5,0.0287,0.1911,weak_recovered,0.0,6.25,6.0,0.0,,
Oshima,oshima8~9,1,16,660.38,823.62,0.4659,0.7702,mixed,0.677,12.077,11.0,0.0,,
Oshima,oshima8~9,1,17,546.36,831.25,127.4765,12.74,mixed,0.949,20.691,19.0,0.0,check,
Oshima,oshima8~9,1,18,651.75,833.27,0.5233,0.8163,mixed,0.37,6.904,5.0,0.0,,
Oshima,oshima8~9,1,19,456.67,839.67,0.0215,0.1655,weak_recovered,0.0,7.0,7.0,0.0,,
Oshima,oshima8~9,1,20,651.67,850.56,0.0645,0.2866,mixed,0.667,5.111,4.0,0.0,,
Oshima,oshima8~9,1,21,506.33,854.33,0.0215,0.1655,weak_recovered,0.0,2.333,2.0,0.0,,
Oshima,oshima8~9,1,22,656.86,859.71,0.0502,0.2528,weak_recovered,0.0,0.571,1.0,0.0,,
Oshima,oshima8~9,1,23,643.82,866.5,0.2437,0.5571,strong,1.0,10.765,11.0,0.0,,
Oshima,oshima8~9,1,24,587.71,869.29,0.0502,0.2528,mixed,0.286,3.143,4.0,0.0,,
Oshima,oshima8~9,1,25,682.25,873.12,0.0573,0.2702,weak_recovered,0.0,3.25,3.0,0.0,,
Oshima,oshima8~9,1,26,649.0,873.5,0.0143,0.1351,strong,1.0,2.0,2.0,0.0,,
Oshima,oshima8~9,1,27,656.33,875.0,0.0215,0.1655,weak_recovered,0.0,-1.333,-1.0,0.0,,
Oshima,oshima8~9,1,28,639.17,876.02,0.3011,0.6191,mixed,0.5,6.429,6.0,0.0,,
Oshima,oshima8~9,1,29,682.1,880.1,0.0717,0.3021,weak_recovered,0.0,3.0,2.5,0.0,,
Oshima,oshima8~9,1,30,645.78,884.56,0.0645,0.2866,mixed,0.667,2.778,3.0,0.0,,
Oshima,oshima8~9,1,31,653.31,885.0,0.0932,0.3445,weak_recovered,0.0,1.538,1.0,0.0,,
Oshima,oshima8~9,1,32,609.5,889.0,0.0143,0.1351,strong,1.0,3.5,3.5,0.0,,
Oshima,oshima8~9,1,33,629.69,891.77,0.0932,0.3445,mixed,0.846,5.615,4.0,0.0,,
Oshima,oshima8~9,1,34,637.06,895.5,0.5018,0.7993,mixed,0.714,6.214,6.0,0.0,,
Oshima,oshima8~9,1,35,600.5,899.0,0.043,0.234,weak_recovered,0.0,3.0,3.0,0.0,,
Oshima,oshima8~9,1,36,622.5,899.0,0.0143,0.1351,strong,1.0,2.5,2.5,0.0,,
Oshima,oshima8~9,1,37,649.5,899.0,0.0143,0.1351,mixed,0.5,5.5,5.5,0.0,,
Oshima,oshima8~9,1,38,614.21,902.21,0.1004,0.3575,mixed,0.786,6.0,6.0,0.0,,
Oshima,oshima8~9,1,39,640.58,906.16,0.3943,0.7085,mixed,0.964,8.2,8.0,0.0,,
Oshima,oshima8~9,1,40,604.92,912.77,0.0932,0.3445,strong,1.0,2.692,3.0,0.0,,
Oshima,oshima8~9,1,41,593.12,914.38,0.1147,0.3821,strong,1.0,6.062,6.0,0.0,,
Oshima,oshima8~9,1,42,515.45,915.0,0.0789,0.3169,mixed,0.455,4.727,5.0,0.0,,
Oshima,oshima8~9,1,43,570.05,916.11,0.1362,0.4164,strong,1.0,4.053,3.0,0.0,,
Oshima,oshima8~9,1,44,633.71,918.43,0.0502,0.2528,mixed,0.857,3.286,3.0,0.0,,
Oshima,oshima8~9,1,45,520.87,923.64,0.9247,1.0851,mixed,0.791,6.907,7.0,0.0,,
Oshima,oshima8~9,1,46,489.03,924.57,4.5735,2.4131,mixed,0.829,10.677,10.0,0.0,check,
Oshima,oshima8~9,1,47,601.4,926.2,0.0358,0.2136,strong,1.0,3.0,2.0,0.0,,
Oshima,oshima8~9,1,48,575.86,928.03,0.4158,0.7276,mixed,0.948,6.293,6.0,0.0,,
Oshima,oshima8~9,1,49,544.98,928.47,0.4229,0.7338,strong,1.0,7.915,8.0,0.0,,
Oshima,oshima8~9,1,50,566.0,928.5,0.0143,0.1351,mixed,0.5,1.5,1.5,0.0,,
Oshima,oshima8~9,1,51,633.0,934.5,0.0143,0.1351,strong,1.0,3.0,3.0,0.0,,
Oshima,oshima8~9,1,52,521.85,937.07,0.5806,0.8598,mixed,0.802,6.951,7.0,0.0,,
Oshima,oshima8~9,1,53,550.64,940.45,0.0789,0.3169,strong,1.0,2.727,3.0,0.0,,
Oshima,oshima8~9,1,54,579.5,940.9,0.3441,0.6619,mixed,0.979,7.229,7.0,0.0,,
