island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Toshima,toshima3~6,1,43,42,1,0,8.276,1.948,1.757,0.191,10.12,0.1925,0.1014,1.1657,0.0,1,162,47.505,11.18,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,2,39,36,3,0,3.635,0.821,0.669,0.152,8.814,0.0932,0.0434,1.1295,0.0,1,0,3.635,0.821,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,3,135,133,2,0,18.528,5.187,4.65,0.537,37.794,0.1372,0.0579,2.0346,0.0,1,214,67.64,18.936,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,4,102,92,10,3,58.901,16.796,15.586,1.21,29.086,0.5775,0.0869,18.6297,0.0,1,228,140.161,39.968,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,5,20,13,7,0,0.818,0.114,0.041,0.073,2.783,0.0409,0.029,0.1231,0.0,0,0,0.818,0.114,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,7,111,107,4,1,58.698,8.461,7.927,0.533,15.999,0.5288,0.1738,18.1663,0.0,1,398,106.645,15.371,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,8,140,130,10,0,34.284,4.987,4.622,0.365,20.366,0.2449,0.0724,2.7586,0.0,1,348,82.396,11.986,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,9,103,102,1,0,9.109,1.114,1.035,0.079,12.6,0.0884,0.0434,1.4046,0.0,1,203,73.505,8.992,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,10,44,44,0,0,3.519,0.596,0.596,0.0,7.458,0.08,0.0362,0.362,0.0,1,0,3.519,0.596,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
Toshima,toshima3~6,11,122,118,4,0,11.809,1.565,1.425,0.14,16.164,0.0968,0.0543,1.0064,0.0,1,243,58.64,7.769,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.0850909,117.5214,0.00497,12,11,658,367.11|484.54|602.00|720.90|838.75|956.84|1073.59|1191.82|1309.34|1426.36|1543.53|1661.50
