stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,141391,255,229.0,191.0,255.0,13,122.0,9.0,219.0,23,109.0,16.0,211.0
green_reproductive_organ,28108,209,140.0,20.0,219.0,231,229.0,83.0,248.0,59,113.0,47.0,202.0
