island,sheet,organ_id,nearest_corolla,cx,cy,x1,y1,x2,y2,length_mm,width_mm,aspect,angle_deg,organ_type_auto,organ_type_FILL,exclude_FILL,detection_source,nearest_corolla_hint,association_confirmed,visibility_note
Niijima,niijima2,1,2,950.99,1099.36,924,985,975,1208,45.7,0.55,83.84,77.12,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,2,1,439.23,1150.66,427,1036,443,1254,66.79,0.33,204.22,85.8,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,3,3,1351.57,1157.72,1353,1059,1366,1254,39.58,0.5,78.95,86.19,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,4,4,512.41,1622.89,530,1732,501,1509,56.29,0.4,140.52,82.59,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,5,5,1020.17,1631.4,1029,1738,1018,1525,60.86,0.34,176.53,87.04,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,6,5,1427.65,1656.27,1391,1554,1455,1756,41.07,0.55,74.95,72.42,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,7,7,475.12,2056.74,466,1940,496,2160,49.79,0.47,106.71,82.23,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,8,6,961.06,2111.14,970,1993,945,2219,75.55,0.31,245.23,-83.69,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,9,8,1397.74,2112.72,1383,2002,1407,2220,43.62,0.51,85.67,83.72,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,10,8,1637.55,2429.04,1530,2419,1752,2428,71.11,0.31,231.35,2.32,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,11,10,465.26,2503.56,476,2605,446,2404,54.1,0.39,139.52,81.51,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,12,12,1344.03,2542.18,1340,2631,1358,2452,46.59,0.4,116.96,-84.26,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,13,11,878.82,2545.27,863,2440,889,2645,56.37,0.38,147.9,82.77,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,14,12,1695.6,2586.65,1675,2502,1718,2673,40.03,0.43,94.09,75.88,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,15,15,921.82,2922.2,888,2817,953,3016,42.36,0.5,84.3,71.91,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,16,15,1306.69,2944.9,1319,3036,1287,2855,44.55,0.42,104.94,79.97,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Niijima,niijima2,17,13,486.97,2958.85,460,2862,511,3053,41.86,0.48,86.34,75.05,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
