island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Niijima,niijima2,1,57,195.9,1273.21,0.7742,0.9928,mixed,0.806,16.861,17.0,0.0,,
Niijima,niijima2,1,58,116.5,1273.5,0.0143,0.1351,weak_recovered,0.0,2.5,2.5,0.0,,
Niijima,niijima2,1,59,136.32,1279.6,6.7455,2.9306,mixed,0.639,20.164,18.0,0.0,check,
Niijima,niijima2,1,60,397.01,1281.45,0.6021,0.8756,weak_recovered,0.0,4.131,4.0,0.0,,
Niijima,niijima2,1,61,407.67,1281.67,0.0215,0.1655,weak_recovered,0.0,1.667,2.0,0.0,,
Niijima,niijima2,1,62,260.91,1282.89,0.3369,0.655,mixed,0.681,17.021,16.0,0.0,,
Niijima,niijima2,1,63,173.5,1284.5,0.0143,0.1351,weak_recovered,0.0,1.0,1.0,0.0,,
Niijima,niijima2,1,64,160.96,1285.08,0.1864,0.4871,weak_recovered,0.0,3.577,4.0,0.0,,
Niijima,niijima2,1,65,327.43,1288.43,0.1505,0.4378,weak_recovered,0.0,0.524,1.0,0.0,,
Niijima,niijima2,1,66,269.59,1289.59,0.1219,0.3939,mixed,0.882,13.706,14.0,0.0,,
Niijima,niijima2,1,67,201.61,1291.91,0.4086,0.7213,mixed,0.456,13.298,13.0,0.0,,
Niijima,niijima2,1,68,173.6,1296.6,0.0358,0.2136,weak_recovered,0.0,3.2,3.0,0.0,,
Niijima,niijima2,1,69,122.36,1297.29,0.1004,0.3575,mixed,0.071,11.857,12.0,0.0,,
Niijima,niijima2,1,70,269.67,1299.67,0.0215,0.1655,strong,1.0,8.0,8.0,0.0,,
Niijima,niijima2,1,71,338.31,1300.86,0.3656,0.6823,weak_recovered,0.0,8.98,9.0,0.0,,
Niijima,niijima2,1,72,353.83,1307.58,0.086,0.3309,weak_recovered,0.0,-0.417,0.0,0.0,,
Niijima,niijima2,1,73,217.67,1307.74,0.4731,0.7761,mixed,0.955,29.227,28.0,0.0,,
Niijima,niijima2,1,74,344.11,1308.33,0.0645,0.2866,weak_recovered,0.0,3.222,3.0,0.0,,
Niijima,niijima2,1,75,119.69,1309.37,0.7742,0.9928,mixed,0.102,12.074,11.5,0.0,,
Niijima,niijima2,1,76,134.18,1316.11,1.2473,1.2602,mixed,0.368,16.04,11.5,0.0,,
Niijima,niijima2,1,77,147.43,1324.57,0.1004,0.3575,weak_recovered,0.0,6.357,6.5,0.0,,
Niijima,niijima2,1,78,121.7,1325.5,0.0717,0.3021,weak_recovered,0.0,2.8,3.0,0.0,,
Niijima,niijima2,1,79,246.8,1326.4,0.0358,0.2136,strong,1.0,3.4,3.0,0.0,,
Niijima,niijima2,1,80,129.25,1336.0,0.0287,0.1911,weak_recovered,0.0,7.75,7.5,0.0,,
Niijima,niijima2,1,81,230.78,1336.44,0.0645,0.2866,weak_recovered,0.0,1.556,1.0,0.0,,
Niijima,niijima2,1,82,245.33,1341.0,0.0215,0.1655,weak_recovered,0.0,3.0,3.0,0.0,,
Niijima,niijima2,1,83,248.0,1341.5,0.0143,0.1351,weak_recovered,0.0,3.0,3.0,0.0,,
Niijima,niijima2,1,84,236.5,1342.5,0.0143,0.1351,weak_recovered,0.0,1.0,1.0,0.0,,
Niijima,niijima2,1,,294.33,1008.67,0.0215,0.1655,oxidized_recovered,0.0,1.333,1.0,,,
Niijima,niijima2,1,,296.4,1014.7,0.0717,0.3021,oxidized_recovered,0.0,-0.9,-2.5,,,
Niijima,niijima2,1,,301.0,1018.75,0.0287,0.1911,oxidized_recovered,0.0,11.0,11.5,,,
Niijima,niijima2,1,,291.5,1020.0,0.0287,0.1911,oxidized_recovered,0.0,12.75,12.0,,,
Niijima,niijima2,1,,278.0,1021.33,0.0215,0.1655,oxidized_recovered,0.0,6.333,6.0,,,
Niijima,niijima2,1,,263.6,1022.0,0.0358,0.2136,oxidized_recovered,0.0,-9.4,-10.0,,,
Niijima,niijima2,1,,199.0,1022.33,0.0215,0.1655,oxidized_recovered,0.0,-22.0,-22.0,,,
Niijima,niijima2,1,,202.0,1022.5,0.0143,0.1351,oxidized_recovered,0.0,-28.5,-28.5,,,
Niijima,niijima2,1,,304.5,1022.5,0.0287,0.1911,oxidized_recovered,0.0,12.0,12.5,,,
Niijima,niijima2,1,,180.5,1024.0,0.0143,0.1351,oxidized_recovered,0.0,1.0,1.0,,,
