island,sheet,corolla_id,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Niijima,niijima2,1,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,30.311,25.908,569.92,5.67,24.556,24.469,22.352,15.917,7.789,47.644,0.3172,1.5372,1.0986,28.664,17.135,0.1871,0.9444,0.425,3,opened_or_broad,flat_span_over_pi,0.3125,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,niijima2,2,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,30.395,23.876,533.254,3.918,26.393,13.123,21.675,15.917,4.177,13.705,0.1583,0.8245,1.2177,28.623,0.496,0.1289,0.5496,0.4085,4,opened_or_broad,flat_span_over_pi,0.3025,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,niijima2,3,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,32.004,23.453,545.971,3.84,28.079,18.288,20.405,12.107,5.821,26.615,0.2073,1.5105,1.3761,24.528,0.229,0.12,0.7798,0.3656,5,opened_or_broad,flat_span_over_pi,0.1853,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,niijima2,4,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,40.132,32.766,916.938,6.438,33.609,22.183,28.194,18.203,7.061,39.158,0.2101,1.2186,1.1921,3.089,0.179,0.1604,0.677,0.4916,4,opened_or_broad,flat_span_over_pi,0.1931,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,niijima2,5,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,32.851,28.702,679.039,5.275,27.491,26.162,23.791,16.256,8.328,54.467,0.3029,1.6094,1.1555,4.94,9.584,0.1606,0.9115,0.4003,3,opened_or_broad,flat_span_over_pi,0.2201,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,niijima2,6,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,76.031,33.189,1697.396,21.938,54.008,25.993,33.359,22.013,16.547,215.056,0.3064,1.1808,1.619,9.988,15.732,0.2885,0.7832,0.6495,4,folded_half,2x_flat_span_over_pi,0.1258,shape_end_complexity,profile_fallback,sinus|folded_mouth_proxy,,,auto_unreviewed
Niijima,niijima2,7,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,35.306,27.263,671.347,4.237,30.985,17.695,22.013,15.155,5.633,24.918,0.1818,1.1676,1.4075,8.635,0.701,0.12,0.6491,0.3904,5,opened_or_broad,flat_span_over_pi,0.197,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,niijima2,8,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,36.915,7.027,128.107,13.33,23.5,6.858,2.286,3.217,4.366,14.971,0.1858,2.1316,10.2798,2.205,0.168,0.3611,0.9759,0.3777,4,folded_half,2x_flat_span_over_pi,0.873,guide_density_secondary,boundary_sinuses,folded_mouth_proxy,,,auto_unreviewed
Niijima,niijima2,9,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,63.415,28.787,1378.185,14.87,48.461,25.231,28.956,22.352,16.062,202.632,0.3315,1.1288,1.6736,16.67,11.677,0.2345,0.8765,0.4544,4,folded_half,2x_flat_span_over_pi,0.1486,shape_end_complexity,profile_fallback,sinus|folded_mouth_proxy,,,auto_unreviewed
Niijima,niijima2,10,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,30.988,27.432,642.752,5.43,25.473,24.045,23.791,16.679,7.654,46.01,0.3005,1.4416,1.0707,8.665,0.425,0.1752,0.8765,0.3586,3,opened_or_broad,flat_span_over_pi,0.2798,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
