island,sheet,organ_id,nearest_corolla,cx,cy,x1,y1,x2,y2,length_mm,width_mm,aspect,angle_deg,organ_type_auto,organ_type_FILL,exclude_FILL,detection_source,nearest_corolla_hint,association_confirmed,visibility_note
Oshima,oshima10~13,1,1,607.13,569.52,581,442,645,676,43.76,0.66,66.29,74.7,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,2,2,1158.47,596.3,1162,462,1166,712,23.34,1.26,18.53,89.08,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,3,3,1646.21,617.97,1598,481,1689,739,48.67,0.65,74.7,70.57,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,4,4,636.58,1133.35,636,981,641,1258,24.22,1.11,21.73,88.97,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,5,5,1186.04,1236.12,1188,1094,1193,1352,25.89,0.97,26.77,88.89,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,6,6,1675.94,1265.46,1675,1121,1669,1391,26.1,1.01,25.97,-88.73,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,7,7,2058.68,1284.11,2018,1157,2106,1391,51.29,0.56,91.79,69.39,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,8,8,638.09,1638.83,577,1572,695,1700,26.88,0.83,32.53,47.33,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,9,9,1070.24,1715.9,1042,1632,1099,1785,26.81,0.67,39.82,69.57,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,10,10,1627.72,1769.16,1635,1657,1619,1875,45.7,0.53,85.54,-85.8,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,11,11,2110.05,1917.76,2076,1784,2137,2027,50.5,0.56,90.75,75.91,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,12,13,1109.93,2277.97,1082,2122,1139,2421,46.42,0.71,65.81,79.21,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,13,12,600.15,2327.58,585,2162,620,2486,59.19,0.56,105.51,83.83,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,14,14,1654.54,2347.96,1649,2212,1656,2473,53.71,0.47,113.15,88.46,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,15,15,2096.62,2441.51,2123,2293,2078,2571,56.68,0.58,97.62,-80.81,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,16,17,743.14,2847.7,762,2959,723,2718,50.71,0.55,92.27,80.81,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,17,17,1237.38,2882.8,1241,2743,1232,3009,64.26,0.48,133.94,-88.06,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
Oshima,oshima10~13,18,18,1814.67,2900.16,1771,2766,1848,3028,49.68,0.6,82.56,73.62,reviewed_reproductive_organ,,,shimask_green_stroke_from_raw_difference,,1,human-reviewed green stroke recovered by raw-image difference; path length measured on skeleton
