stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,98659,255,218.0,162.0,255.0,22,122.0,14.0,218.0,39,123.0,26.0,212.0
green_reproductive_organ,34638,109,133.0,50.0,211.0,221,191.0,19.0,243.0,71,107.0,30.0,202.0
