island,sheet,corolla_id,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Oshima,oshima10~13,1,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,35.137,21.929,580.171,4.986,30.066,16.425,19.897,13.716,5.228,21.469,0.1739,1.1975,1.5111,33.526,3.087,0.1419,0.749,0.4423,6,opened_or_broad,flat_span_over_pi,0.1866,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima10~13,2,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,40.64,25.908,809.361,5.386,35.169,21.844,24.13,16.679,6.953,37.971,0.1977,1.3096,1.4575,32.273,1.496,0.1325,0.8431,0.4416,4,opened_or_broad,flat_span_over_pi,0.22,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima10~13,3,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,40.132,26.585,856.787,4.816,35.232,23.622,23.961,19.219,7.519,44.404,0.2134,1.2291,1.4704,25.313,7.891,0.12,0.8885,0.4976,3,opened_or_broad,flat_span_over_pi,0.2052,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima10~13,4,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,40.047,27.009,862.178,5.024,34.939,24.469,25.4,16.51,7.789,47.644,0.2229,1.4821,1.3756,37.252,20.007,0.1254,0.906,0.4883,5,opened_or_broad,flat_span_over_pi,0.111,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima10~13,5,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,37.169,27.347,815.275,4.681,32.403,24.299,25.4,18.203,7.735,46.987,0.2387,1.3349,1.2757,33.246,20.018,0.1259,0.8885,0.4789,3,opened_or_broad,flat_span_over_pi,0.153,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima10~13,6,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,38.354,24.638,724.114,4.602,33.667,17.357,23.029,15.494,5.525,23.973,0.1641,1.1202,1.4619,37.769,15.206,0.12,0.7045,0.5261,3,opened_or_broad,flat_span_over_pi,0.1678,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima10~13,7,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,41.063,25.383,799.311,9.638,31.341,19.727,25.146,19.643,6.279,30.969,0.2004,1.0043,1.2464,33.338,38.039,0.2347,0.7772,0.478,5,opened_or_broad,flat_span_over_pi,0.054,guide_density_secondary,profile_fallback,orientation|sinus,,,auto_unreviewed
Oshima,oshima10~13,8,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,25.061,20.828,419.154,3.007,21.969,19.897,19.05,15.071,6.333,31.503,0.2883,1.3202,1.1532,47.914,10.037,0.12,0.9553,0.49,4,opened_or_broad,flat_span_over_pi,0.173,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima10~13,9,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,24.638,20.278,394.0,4.083,20.47,17.357,18.627,14.563,5.525,23.973,0.2699,1.1919,1.099,34.479,19.646,0.1657,0.8559,0.4962,3,opened_or_broad,flat_span_over_pi,0.2624,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,oshima10~13,10,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,31.411,23.029,589.01,3.769,27.557,19.981,22.183,16.849,6.36,31.772,0.2308,1.1859,1.2423,37.652,30.44,0.12,0.8676,0.5298,3,opened_or_broad,flat_span_over_pi,0.1877,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
