island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Oshima,oshima6,1,108,87,21,5,127.469,18.106,16.812,1.294,15.341,1.1803,0.1004,73.6917,0.0,1,661,216.967,30.819,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima6,2,99,71,28,3,125.577,22.892,21.304,1.588,18.047,1.2685,0.1362,87.7132,0.0,1,517,185.634,33.839,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima6,3,51,45,6,0,11.62,1.68,1.616,0.064,7.373,0.2278,0.0573,1.7133,0.0,1,143,73.606,10.642,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima6,4,77,65,12,2,54.029,8.655,7.822,0.834,12.336,0.7017,0.1219,34.9605,0.0,1,398,125.864,20.164,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima6,5,70,55,15,2,107.677,19.648,18.321,1.326,12.773,1.5382,0.0968,89.6486,0.0,1,448,163.813,29.891,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima6,6,60,54,6,3,42.76,7.73,6.714,1.016,10.846,0.7127,0.1577,12.2509,0.0,1,278,90.523,16.364,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
