island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Kozushima,kozu1,1,96,86,10,0,9.584,1.947,1.628,0.319,19.498,0.0998,0.0506,1.0336,0.0,1,208,129.011,26.202,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,2,149,132,17,1,29.497,6.105,5.148,0.957,30.839,0.198,0.1012,3.0213,0.0,1,253,174.142,36.043,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,3,120,102,18,5,62.868,19.466,17.364,2.101,37.155,0.5239,0.094,15.0485,0.0,1,330,132.054,40.887,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,4,115,103,12,1,20.693,5.497,4.875,0.622,30.551,0.1799,0.0578,3.4694,0.0,1,238,77.273,20.528,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,5,170,154,16,0,36.082,6.637,5.493,1.143,31.268,0.2122,0.1156,1.8937,0.0,1,413,183.661,33.781,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,6,70,68,2,0,8.984,3.142,2.326,0.817,24.484,0.1283,0.0651,1.4022,0.0,1,170,55.04,19.251,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,7,154,140,14,4,69.482,13.615,11.852,1.763,30.176,0.4512,0.1337,14.7232,0.0,1,546,158.855,31.127,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,8,76,75,1,0,4.799,1.113,1.011,0.102,17.628,0.0631,0.0217,0.5999,0.0,1,160,88.954,20.632,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,9,141,137,4,0,16.769,2.823,2.388,0.436,23.74,0.1189,0.0651,0.6794,0.0,1,350,119.181,20.066,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
Kozushima,kozu1,10,122,116,6,0,21.467,5.277,4.275,1.002,29.988,0.176,0.094,1.7708,0.0,1,258,115.726,28.446,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50
