island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc
Oshima,1,oshima10~13,,10|11|12|13,,,,1,457,653,4,1,not_triggered,35.9,27.69,0.771,,,611.3,186.509,30.508,163,26.662,0.957,1,0.001,0,8.38,27.82,5,0.757,1.24,,111,52,9,25.101,5.407,1.1442,0.1434,59.3548,0.0,839,279.333,45.691,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,35.899,27.081,611.311,7.991,27.823,26.331,18.965,11.176,8.382,55.174,0.3012,2.3561,1.4671,34.51,9.771,0.2226,0.9723,0.4687,5,opened_or_broad,flat_span_over_pi,0.102,shape_end_complexity,boundary_sinuses,
Oshima,1,oshima10~13,,10|11|12|13,,,,2,976,619,2,1,not_triggered,45.3,30.48,0.673,,,869.0,251.182,28.905,254,29.23,0.923,1,0.002,0,7.73,37.11,5,0.772,1.42,,179,75,8,25.688,3.217,0.9889,0.1935,58.0429,0.0,950,344.716,39.669,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,45.297,27.855,868.931,6.058,39.154,20.743,23.368,13.377,6.603,34.241,0.1686,1.5506,1.6756,29.956,12.393,0.1337,0.7447,0.5173,5,opened_or_broad,flat_span_over_pi,0.0112,guide_density_secondary,boundary_sinuses,orientation
Oshima,1,oshima10~13,,10|11|12|13,,,,3,1398,655,3,1,not_triggered,39.12,28.02,0.716,,,842.9,207.018,24.559,277,32.861,0.946,1,0.001,0,6.79,27.79,7,0.891,1.38,,250,27,8,22.901,1.657,0.7474,0.2652,50.0645,0.0,1021,310.064,36.783,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,39.116,27.009,842.881,13.071,25.96,25.993,22.437,14.901,8.274,53.764,0.3187,1.7443,1.157,23.763,26.301,0.3342,0.9624,0.5149,4,opened_or_broad,flat_span_over_pi,0.1155,shape_end_complexity,profile_fallback,sinus
Oshima,1,oshima10~13,,10|11|12|13,,,,4,456,1170,5,1,not_triggered,39.88,30.56,0.766,,,867.5,314.035,36.2,224,25.821,0.923,1,0.003,0,8.92,19.98,6,0.817,1.31,,105,119,8,25.605,10.595,1.4019,0.1398,137.0393,0.0,1141,439.591,50.673,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,39.878,28.744,867.447,4.785,35.008,25.569,24.384,14.817,8.139,52.027,0.2325,1.7257,1.4357,36.411,34.937,0.12,0.8895,0.5362,5,opened_or_broad,flat_span_over_pi,0.0672,guide_density_secondary,boundary_sinuses,orientation
Oshima,1,oshima10~13,,10|11|12|13,,,,5,935,1203,6,1,not_triggered,36.41,27.18,0.746,,,771.2,251.684,32.634,220,28.526,0.963,1,0.002,0,7.6,31.69,4,0.942,1.33,,120,100,7,24.171,8.463,1.144,0.1362,59.4981,0.0,1179,379.125,49.158,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,36.407,27.009,771.225,4.632,31.69,23.876,24.723,17.526,7.6,45.364,0.2398,1.3623,1.2818,33.073,27.239,0.1272,0.884,0.4798,4,opened_or_broad,flat_span_over_pi,0.1546,shape_end_complexity,boundary_sinuses,
Oshima,1,oshima10~13,,10|11|12|13,,,,6,1502,1293,7,1,not_triggered,41.91,29.46,0.703,,,769.8,282.587,36.71,155,20.135,0.874,1,0.0,0,18.43,14.79,3,0.839,1.37,,108,47,14,30.062,6.648,1.8231,0.2581,52.1576,0.0,1061,346.953,45.071,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,41.91,28.787,769.791,5.189,36.637,19.219,21.844,12.192,6.118,29.395,0.167,1.5764,1.6772,36.489,41.996,0.1238,0.6676,0.5907,4,opened_or_broad,flat_span_over_pi,0.1547,shape_end_complexity,boundary_sinuses,
Oshima,1,oshima10~13,,10|11|12|13,,,,7,1912,1416,8,1,not_triggered,38.35,28.87,0.753,,,770.6,268.666,34.863,170,22.059,0.98,1,0.028,0,8.7,21.47,4,0.868,1.32,,112,58,9,27.992,6.87,1.5804,0.3513,81.4766,0.0,1176,365.168,47.385,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,38.354,26.602,770.659,16.797,21.473,27.347,23.537,15.663,8.705,59.514,0.4054,1.7459,0.9123,36.683,32.27,0.4379,1.028,0.483,4,opened_or_broad,flat_span_over_pi,0.0737,guide_density_secondary,boundary_sinuses,orientation
Oshima,1,oshima10~13,,10|11|12|13,,,,8,399,1671,9,1,not_triggered,26.84,24.81,0.924,,,403.9,192.838,47.743,73,18.073,0.927,1,0.001,0,12.4,14.89,2,0.825,1.08,,24,49,4,29.86,17.882,2.6416,0.1362,93.0608,0.0,582,235.247,58.242,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,26.839,23.233,403.849,11.861,14.894,19.473,21.844,9.652,6.199,30.177,0.4162,2.0175,0.6818,46.602,50.229,0.4419,0.8382,0.4528,2,opened_or_broad,flat_span_over_pi,0.0819,shape_end_complexity,boundary_sinuses,
Oshima,1,oshima10~13,,10|11|12|13,,,,9,905,1700,10,1,not_triggered,22.94,19.9,0.867,,,363.4,130.545,35.924,121,33.298,0.989,1,0.004,0,5.71,13.08,5,0.906,1.12,,82,39,10,27.523,8.402,1.0789,0.1864,16.1864,0.0,459,197.448,54.335,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,22.945,19.558,363.397,2.753,20.107,16.849,18.034,13.885,5.363,22.59,0.2667,1.2134,1.1149,36.599,28.282,0.12,0.8615,0.5262,8,opened_or_broad,flat_span_over_pi,0.2194,shape_end_complexity,boundary_sinuses,
Oshima,1,oshima10~13,,10|11|12|13,,,,10,1467,1781,11,1,not_triggered,30.73,26.59,0.865,,,586.6,223.856,38.16,138,23.524,1.0,1,0.027,0,7.79,20.65,4,0.854,1.16,,80,58,7,28.592,9.568,1.6221,0.1183,73.7203,0.0,832,319.068,54.39,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,30.734,26.331,586.659,10.003,20.647,24.469,21.929,12.107,7.789,47.644,0.3772,2.021,0.9415,38.675,37.021,0.3255,0.9293,0.4757,4,opened_or_broad,flat_span_over_pi,0.1644,guide_density_secondary,boundary_sinuses,
