island,sheet,organ_id,nearest_corolla,cx,cy,x1,y1,x2,y2,length_mm,width_mm,aspect,angle_deg,organ_type_auto,organ_type_FILL,exclude_FILL,detection_source,nearest_corolla_hint,association_confirmed,visibility_note
Oshima,oshima10~13,1,2,761.5,225.0,,,,,34.05,1.42,24.01,73.02,unclassified_reproductive_organ,,,,,,
Oshima,oshima10~13,2,2,1185.0,557.5,,,,,31.46,1.43,21.93,-86.78,unclassified_reproductive_organ,,,,,,
Oshima,oshima10~13,3,2,806.0,673.0,,,,,31.0,1.44,21.57,-88.04,unclassified_reproductive_organ,,,,,,
Oshima,oshima10~13,4,5,1195.39,1186.99,,,,,31.82,4.27,7.45,-83.66,unclassified_reproductive_organ,,,,,,
Oshima,oshima10~13,5,8,653.0,1628.5,,,,,32.86,1.43,23.02,51.87,unclassified_reproductive_organ,,,,,,
Oshima,oshima10~13,6,13,697.5,2171.5,,,,,33.05,1.46,22.58,-55.01,unclassified_reproductive_organ,,,,,,
Oshima,oshima10~13,7,15,2085.0,2656.5,,,,,32.16,1.44,22.31,85.91,unclassified_reproductive_organ,,,,,,
Oshima,oshima10~13,8,17,1223.87,2839.98,,,,,37.9,3.22,11.78,86.99,unclassified_reproductive_organ,,,,,,
