island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc
Toshima,2,toshima6~8,,6|7|8,,,,1,319,1129,2,1,not_triggered,28.19,21.08,0.748,,,427.3,116.387,27.237,140,32.763,0.94,1,0.02,0,6.23,18.24,4,0.898,1.26,,126,14,7,24.456,2.781,0.8313,0.1828,29.2616,0.0,598,183.097,42.849,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,28.194,20.913,427.347,7.031,21.078,17.357,19.981,13.208,5.525,23.973,0.2621,1.3141,1.0549,24.867,43.574,3,opened_or_broad,flat_span_over_pi,0.1668,shape_end_complexity,boundary_sinuses,
Toshima,2,toshima6~8,,6|7|8,,,,2,765,1132,3,1,not_triggered,35.22,27.01,0.767,,,443.1,117.52,26.523,111,25.052,0.684,1,0.028,0,3.13,21.33,7,0.631,1.27,,85,26,9,22.844,3.679,1.0587,0.2079,26.8458,0.0,523,182.2,41.121,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,35.221,25.548,443.025,10.986,24.151,7.705,20.997,16.002,2.452,4.724,0.1015,0.4815,1.1502,28.734,0.066,7,opened_or_broad,flat_span_over_pi,0.1348,shape_end_complexity,boundary_sinuses,
Toshima,2,toshima6~8,,6|7|8,,,,3,1306,1028,1,1,not_triggered,38.69,25.99,0.672,,,740.2,60.029,8.11,124,16.752,0.998,1,0.056,0,4.85,30.99,4,0.885,1.43,,105,19,4,7.138,0.972,0.4841,0.086,17.8853,0.0,479,171.727,23.2,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,38.693,25.4,740.178,7.619,30.989,15.24,22.606,21.59,4.851,18.482,0.1565,0.7059,1.3708,8.87,0.927,4,opened_or_broad,flat_span_over_pi,0.4514,guide_density_secondary,boundary_sinuses,
Toshima,2,toshima6~8,,6|7|8,,,,4,235,1566,4,1,not_triggered,29.63,18.97,0.64,,,421.4,51.971,12.333,154,36.544,0.989,1,0.036,0,11.64,25.23,3,0.868,1.55,,137,17,1,10.334,1.999,0.3375,0.1577,5.1828,0.0,400,145.692,34.573,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,29.633,18.796,421.361,10.901,18.647,16.849,18.119,13.039,5.363,22.59,0.2876,1.2922,1.0292,13.014,10.757,6,opened_or_broad,flat_span_over_pi,0.1751,guide_density_secondary,profile_fallback,sinus
Toshima,2,toshima6~8,,6|7|8,,,,5,785,1607,6,1,not_triggered,30.06,22.94,0.763,,,483.6,117.089,24.213,147,30.398,0.963,1,0.004,0,7.14,23.12,4,0.899,1.22,,127,20,4,22.381,1.832,0.7965,0.1075,70.7741,0.0,526,188.889,39.06,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,30.057,22.606,483.569,6.853,23.119,22.352,19.558,10.583,7.115,39.758,0.3077,2.112,1.1821,26.853,10.778,4,opened_or_broad,flat_span_over_pi,0.1085,shape_end_complexity,boundary_sinuses,
Toshima,2,toshima6~8,,6|7|8,,,,6,1251,1581,5,1,not_triggered,36.41,30.23,0.83,,,701.4,87.677,12.501,151,21.529,0.932,1,0.018,0,7.9,24.42,4,0.798,1.07,,138,13,4,11.667,0.834,0.5806,0.1075,26.9319,0.0,509,176.939,25.227,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,36.407,28.109,701.318,5.945,30.377,19.135,27.94,11.261,6.091,29.136,0.2005,1.6992,1.0872,12.117,17.138,6,opened_or_broad,flat_span_over_pi,0.1525,shape_end_complexity,boundary_sinuses,
Toshima,2,toshima6~8,,6|7|8,,,,7,734,2034,7,1,not_triggered,29.55,23.71,0.802,,,556.8,65.29,11.725,113,20.293,0.911,1,0.014,0,7.11,25.59,5,0.918,1.24,,101,12,3,10.779,0.946,0.5778,0.0932,30.5376,0.0,342,118.975,21.366,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,29.549,23.453,556.838,3.87,25.594,22.352,22.691,15.917,7.115,39.758,0.278,1.4043,1.128,12.59,1.137,5,opened_or_broad,flat_span_over_pi,0.1809,shape_end_complexity,boundary_sinuses,
Toshima,2,toshima6~8,,6|7|8,,,,8,281,2040,9,1,not_triggered,26.75,21.93,0.82,,,355.4,49.591,13.955,73,20.542,0.838,1,0.004,0,8.73,19.01,3,0.921,1.1,,69,4,1,13.097,0.857,0.6793,0.0932,32.9032,0.0,201,85.362,24.02,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,26.755,20.701,355.276,4.68,21.99,10.245,19.643,12.531,3.261,8.352,0.1483,0.8176,1.1195,14.645,1.183,3,opened_or_broad,flat_span_over_pi,0.1215,shape_end_complexity,boundary_sinuses,
Toshima,2,toshima6~8,,6|7|8,,,,9,1277,2067,8,1,not_triggered,34.29,27.52,0.803,,,653.7,40.516,6.198,143,21.875,0.928,1,0.02,0,7.49,27.87,4,0.895,1.23,,136,7,0,5.621,0.577,0.2833,0.1577,2.0932,0.0,448,106.91,16.354,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,34.29,27.178,653.748,6.335,27.87,23.537,23.791,14.647,7.492,44.086,0.2688,1.6069,1.1714,6.628,2.449,4,opened_or_broad,flat_span_over_pi,0.2356,shape_end_complexity,boundary_sinuses,
Toshima,2,toshima6~8,,6|7|8,,,,10,345,2518,11,1,not_triggered,44.7,33.44,0.748,,,861.4,10.394,1.207,109,12.654,0.727,1,0.047,0,8.7,30.84,5,0.75,1.15,,107,2,0,1.083,0.123,0.0954,0.043,1.0753,0.0,211,84.122,9.765,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72,44.704,32.482,861.39,11.818,32.801,22.521,30.903,9.398,7.169,40.363,0.2186,2.3964,1.0614,1.475,0.012,7,opened_or_broad,flat_span_over_pi,0.1672,shape_end_complexity,boundary_sinuses,
