stroke,n_pixels,R_mode,R_median,R_p05,R_p95,G_mode,G_median,G_p05,G_p95,B_mode,B_median,B_p05,B_p95
red_corolla_outline,44039,255,216.0,142.0,255.0,19,108.0,12.0,217.0,33,112.0,23.0,213.0
green_reproductive_organ,10081,198,143.0,47.0,210.0,222,219.0,79.0,244.0,84,126.0,64.0,201.0
