island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Oshima,oshima8,1,118,50,68,7,135.792,28.614,23.138,5.476,24.865,1.1508,0.1075,41.0896,0.0,1,548,205.699,43.345,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima8,2,139,44,95,5,199.054,28.405,24.31,4.095,19.835,1.432,0.1075,71.4766,0.0,1,801,282.444,40.305,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima8,3,270,37,233,2,247.856,35.605,18.989,16.616,38.786,0.918,0.0932,182.6736,0.0,1,956,326.896,46.959,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima8,4,48,15,33,5,52.236,39.012,23.743,15.268,35.848,1.0883,0.1362,18.8243,0.0,1,172,64.251,47.984,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima8,5,121,97,24,5,97.118,10.594,9.505,1.089,13.199,0.8026,0.1362,30.2867,0.0,1,784,221.082,24.116,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima8,6,83,64,19,3,179.828,25.873,24.77,1.103,11.942,2.1666,0.1219,151.6056,0.0,1,626,279.426,40.203,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima8,7,22,18,4,5,62.265,36.199,34.624,1.575,12.79,2.8302,0.4659,23.2975,0.0,1,109,69.233,40.25,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
Oshima,oshima8,8,276,79,197,9,292.609,31.872,15.609,16.263,30.063,1.0602,0.1864,85.1469,0.0,1,1364,418.903,45.629,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,39,
